Feature,Coefficient,OddsRatio,AbsImpact
JobRole_Laboratory Technician,0.8578422049052374,2.3580669747300873,0.8578422049052374
OverTime_Yes,0.7785543281408791,2.178320850937054,0.7785543281408791
JobLevel,0.7074900697079196,2.028892483834274,0.7074900697079196
BusinessTravel_Travel_Frequently,0.7032379411491586,2.0202836879854598,0.7032379411491586
TotalWorkingYears,-0.5638896670245475,0.5689915662484896,0.5638896670245475
JobRole_Sales Representative,0.5630283917387453,1.7559822583889666,0.5630283917387453
YearsSinceLastPromotion,0.5325525648241041,1.703274482951144,0.5325525648241041
EducationField_Life Sciences,-0.5321570211439384,0.5873367046423235,0.5321570211439384
MaritalStatus_Single,0.49346041670297813,1.6379744986222131,0.49346041670297813
Department_Sales,0.48943276582613876,1.6313905769658597,0.48943276582613876
JobRole_Sales Executive,0.48844590904866,1.6297814222514784,0.48844590904866
YearsWithCurrManager,-0.47878690070187935,0.6195344929924799,0.47878690070187935
NumCompaniesWorked,0.47663495447998727,1.6106453778457919,0.47663495447998727
BusinessTravel_Travel_Rarely,0.46471224704179465,1.5915561479992149,0.46471224704179465
JobRole_Human Resources,0.43953676584510726,1.551988118063976,0.43953676584510726
